ctry,iso3,sex_group,value
Burundi,BDI,female,3087693
Comoros,COM,female,156719.5
Djibouti,DJI,female,168503
Eritrea,ERI,female,664554.5
Ethiopia,ETH,female,24845761
Kenya,KEN,female,10291799
Madagascar,MDG,female,6091766.5
Malawi,MWI,female,4361761
Mauritius,MUS,female,97664.5
Mayotte,MYT,female,69149.5
Mozambique,MOZ,female,7495991
Réunion,REU,female,91780.5
Rwanda,RWA,female,2619724.5
Seychelles,SYC,female,12610
Somalia,SOM,female,4222000
South Sudan,SSD,female,2262021.5
Uganda,UGA,female,10609428
United Republic of Tanzania,TZA,female,14093831
Zambia,ZMB,female,4348592
Zimbabwe,ZWE,female,3354428.5
Angola,AGO,female,8147813.5
Cameroon,CMR,female,5880422
Central African Republic,CAF,female,1256335.5
Chad,TCD,female,4452287
Congo,COG,female,1252803
Democratic Republic of the Congo,COD,female,24327420
Equatorial Guinea,GNQ,female,343407.5
Gabon,GAB,female,452971
Sao Tome and Principe,STP,female,43941.5
Algeria,DZA,female,6925557
Egypt,EGY,female,18130944.5
Libya,LBY,female,994175
Morocco,MAR,female,4786472
Sudan,SDN,female,10034657.5
Tunisia,TUN,female,1446441
Western Sahara,ESH,female,66450
Botswana,BWA,female,397545.5
Eswatini,SWZ,female,206164.5
Lesotho,LSO,female,401441.5
Namibia,NAM,female,555032.5
South Africa,ZAF,female,8211036
Benin,BEN,female,2911603
Burkina Faso,BFA,female,4806074.5
Cabo Verde,CPV,female,66932.5
Côte d'Ivoire,CIV,female,6354308.5
Gambia,GMB,female,543828.5
Ghana,GHA,female,6037066
Guinea,GIN,female,2927975.5
Guinea-Bissau,GNB,female,417263.5
Liberia,LBR,female,1084831
Mali,MLI,female,5460181
Mauritania,MRT,female,1067393
Niger,NER,female,6041572
Nigeria,NGA,female,46599425
Saint Helena,SHN,female,348.5
Senegal,SEN,female,3354952
Sierra Leone,SLE,female,1618054.5
Togo,TGO,female,1837875.5
Kazakhstan,KAZ,female,2939053.5
Kyrgyzstan,KGZ,female,1124029
Tajikistan,TJK,female,1878255
Turkmenistan,TKM,female,1140994.5
Uzbekistan,UZB,female,5305091
China,CHN,female,109939721
"China, Hong Kong SAR",HKG,female,391208
"China, Macao SAR",MAC,female,49096
"China, Taiwan Province of China",TWN,female,1340870
Dem. People's Republic of Korea,PRK,female,2441395.5
Japan,JPN,female,7048489.5
Mongolia,MNG,female,543842.5
Republic of Korea,KOR,female,2762645.5
Afghanistan,AFG,female,8755262.5
Bangladesh,BGD,female,23494698
Bhutan,BTN,female,81149.5
India,IND,female,172455964.5
Iran (Islamic Republic of),IRN,female,10057576.5
Maldives,MDV,female,49226.5
Nepal,NPL,female,4130221.9999999995
Pakistan,PAK,female,44787762
Sri Lanka,LKA,female,2520768.5
Brunei Darussalam,BRN,female,46361.5
Cambodia,KHM,female,2567339
Indonesia,IDN,female,34134499
Lao People's Democratic Republic,LAO,female,1148286.5
Malaysia,MYS,female,3785819.5
Myanmar,MMR,female,6459081
Philippines,PHL,female,16115364
Singapore,SGP,female,332605.5
Thailand,THA,female,5250206.5
Timor-Leste,TLS,female,232974.5
Viet Nam,VNM,female,11482646.5
